Instance Type,Version,Edition,VCPU,Memory,Bandwidth,IOPS,Throughput,Maxthroughput,Size,Class,GP3,IO2,RDSCustom,Current,Ratio,instancetype,Nitro
db.m5d.large   ,12,SE,2,8,4750,18750,594,594,large,m5d,16000,18750,N,Y,4,G,Y
db.m5d.large   ,13,SE,2,8,4750,18750,594,594,large,m5d,16000,18750,N,Y,4,G,Y
db.m5d.large   ,14,SE,2,8,4750,18750,594,594,large,m5d,16000,18750,N,Y,4,G,Y
db.m5d.large   ,15,SE,2,8,4750,18750,594,594,large,m5d,16000,18750,N,Y,4,G,Y
db.m5d.large   ,16,SE,2,8,4750,18750,594,594,large,m5d,16000,18750,N,Y,4,G,Y
db.r5b.large   ,12,SE,2,16,10000,43333,1250,1000,large,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.large   ,13,SE,2,16,10000,43333,1250,1000,large,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.large   ,14,SE,2,16,10000,43333,1250,1000,large,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.large   ,15,SE,2,16,10000,43333,1250,1000,large,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.large   ,16,SE,2,16,10000,43333,1250,1000,large,r5b,16000,43333,Y,Y,8,M,Y
db.r5d.large   ,12,SE,2,16,4750,18750,594,594,large,r5d,16000,18750,N,Y,8,M,Y
db.r5d.large   ,13,SE,2,16,4750,18750,594,594,large,r5d,16000,18750,N,Y,8,M,Y
db.r5d.large   ,14,SE,2,16,4750,18750,594,594,large,r5d,16000,18750,N,Y,8,M,Y
db.r5d.large   ,15,SE,2,16,4750,18750,594,594,large,r5d,16000,18750,N,Y,8,M,Y
db.r5d.large   ,16,SE,2,16,4750,18750,594,594,large,r5d,16000,18750,N,Y,8,M,Y
db.z1d.large   ,13,SE,2,16,3170,13333,396,396,large,z1d,13333,13333,Y,Y,8,M,Y
db.z1d.large   ,14,SE,2,16,3170,13333,396,396,large,z1d,13333,13333,Y,Y,8,M,Y
db.z1d.large   ,15,SE,2,16,3170,13333,396,396,large,z1d,13333,13333,Y,Y,8,M,Y
